@relation deltaDiffOrientation

@attribute x1 numeric
@attribute y1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute x5 numeric
@attribute y5 numeric
@attribute x6 numeric
@attribute y6 numeric
@attribute x7 numeric
@attribute y7 numeric
@attribute x8 numeric
@attribute y8 numeric
@attribute x9 numeric
@attribute y9 numeric
@attribute x10 numeric
@attribute y10 numeric
@attribute x11 numeric
@attribute y11 numeric
@attribute x12 numeric
@attribute y12 numeric
@attribute x13 numeric
@attribute y13 numeric
@attribute x14 numeric
@attribute y14 numeric
@attribute x15 numeric
@attribute y15 numeric
@attribute x16 numeric
@attribute y16 numeric
@attribute x17 numeric
@attribute y17 numeric
@attribute x18 numeric
@attribute y18 numeric
@attribute x19 numeric
@attribute y19 numeric
@attribute x20 numeric
@attribute y20 numeric
@attribute x21 numeric
@attribute y21 numeric
@attribute x22 numeric
@attribute y22 numeric
@attribute x23 numeric
@attribute y23 numeric
@attribute x24 numeric
@attribute y24 numeric
@attribute x25 numeric
@attribute y25 numeric
@attribute x26 numeric
@attribute y26 numeric
@attribute x27 numeric
@attribute y27 numeric
@attribute x28 numeric
@attribute y28 numeric
@attribute x29 numeric
@attribute y29 numeric
@attribute x30 numeric
@attribute y30 numeric
@attribute x31 numeric
@attribute y31 numeric
@attribute x32 numeric
@attribute y32 numeric
@attribute x33 numeric
@attribute y33 numeric
@attribute x34 numeric
@attribute y34 numeric
@attribute x35 numeric
@attribute y35 numeric
@attribute x36 numeric
@attribute y36 numeric
@attribute x37 numeric
@attribute y37 numeric
@attribute x38 numeric
@attribute y38 numeric
@attribute x39 numeric
@attribute y39 numeric
@attribute x40 numeric
@attribute y40 numeric
@attribute x41 numeric
@attribute y41 numeric
@attribute x42 numeric
@attribute y42 numeric
@attribute x43 numeric
@attribute y43 numeric
@attribute x44 numeric
@attribute y44 numeric
@attribute x45 numeric
@attribute y45 numeric
@attribute x46 numeric
@attribute y46 numeric
@attribute x47 numeric
@attribute y47 numeric
@attribute x48 numeric
@attribute y48 numeric
@attribute x49 numeric
@attribute y49 numeric
@attribute x50 numeric
@attribute y50 numeric
@attribute x51 numeric
@attribute y51 numeric
@attribute x52 numeric
@attribute y52 numeric
@attribute x53 numeric
@attribute y53 numeric
@attribute x54 numeric
@attribute y54 numeric
@attribute x55 numeric
@attribute y55 numeric
@attribute x56 numeric
@attribute y56 numeric
@attribute x57 numeric
@attribute y57 numeric
@attribute x58 numeric
@attribute y58 numeric
@attribute x59 numeric
@attribute y59 numeric
@attribute x60 numeric
@attribute y60 numeric
@attribute result {half-circle, line, sine}


@data
0,0,2,9,2,8,1,1,3,4,2,1,2,5,9,2,5,1,8,3,6,0,7,0,4,3,6,2,2,1,8,3,2,1,3,1,2,1,6,0,1,7,5,1,1,2,6,2,2,0,3,4,3,1,3,4,2,1,3,2,2,3,4,5,1,1,2,4,2,0,2,8,2,2,2,5,2,3,2,6,1,4,3,13,1,12,3,2,1,4,2,5,1,6,1,2,2,11,2,10,2,5,2,25,0,1,1,6,1,0,0,4,1,2,0,1,1,1,3,1,half-circle
0,0,8,4,6,2,5,2,6,4,4,1,6,2,6,2,6,4,3,1,4,4,4,4,2,0,5,7,4,2,2,4,4,5,4,1,4,6,4,3,2,1,5,5,3,0,4,6,1,1,1,5,1,3,2,5,1,5,1,3,1,4,4,6,2,5,1,2,2,2,2,2,2,5,1,5,1,3,4,3,1,2,2,5,3,3,1,4,1,5,1,2,1,9,1,4,2,11,0,1,1,5,1,2,1,6,3,2,0,4,4,4,4,1,1,3,1,1,2,3,half-circle
0,0,13,9,1,1,1,0,1,1,5,4,13,4,28,15,69,20,43,14,17,7,41,11,23,10,19,12,17,8,26,12,19,7,17,7,7,6,6,16,8,13,7,4,16,3,34,4,26,2,21,1,17,2,15,4,6,1,4,2,3,0,20,11,4,4,10,15,3,9,4,8,4,8,0,20,1,21,6,12,4,7,3,6,3,4,3,9,2,7,1,7,1,7,1,14,1,11,1,8,1,7,1,8,2,13,1,2,1,5,2,2,1,2,2,1,1,1,8,4,half-circle
0,0,3,2,2,0,1,1,1,2,1,0,5,4,5,7,7,15,9,15,8,15,8,16,18,18,8,11,14,10,44,12,34,5,36,3,31,4,27,3,17,1,18,0,17,1,22,1,15,5,10,6,11,2,14,2,28,14,16,8,16,12,18,18,10,12,6,8,5,9,6,9,2,8,4,8,0,8,1,8,3,12,5,7,7,7,5,6,2,7,5,9,3,6,2,7,2,8,0,5,0,7,0,3,2,4,1,1,1,1,1,2,1,0,1,0,1,2,23,1,half-circle
0,0,2,0,2,0,1,0,6,2,6,3,9,6,15,14,11,14,14,19,5,6,12,17,15,18,12,12,17,11,33,12,24,7,21,7,22,3,8,4,7,3,12,4,11,1,11,2,9,1,13,8,12,5,12,4,11,3,17,8,8,6,3,1,6,4,6,2,6,5,7,10,4,5,4,8,3,5,4,5,2,6,6,12,6,12,9,15,9,13,9,20,3,10,1,15,3,6,3,5,7,15,2,10,3,7,1,7,1,6,1,3,1,10,1,1,1,2,1,1,half-circle
0,0,3,1,1,0,2,1,2,1,2,1,4,3,11,9,10,7,9,8,4,9,8,18,7,9,20,11,41,15,27,12,24,11,13,8,19,8,13,6,24,10,43,5,24,2,21,4,17,1,11,4,12,4,17,2,22,9,8,8,11,7,12,7,9,11,8,16,7,10,8,13,5,12,4,14,2,9,4,11,3,10,2,10,4,12,2,13,1,14,1,15,0,8,2,10,1,8,2,5,1,9,1,4,0,5,0,4,1,5,1,0,0,0,0,1,0,1,5,3,half-circle
0,0,1,0,1,1,4,1,4,4,5,8,7,5,9,8,18,15,15,9,16,11,13,8,21,15,13,12,15,11,17,9,20,17,11,11,14,12,11,15,14,7,22,5,16,2,10,2,15,5,22,9,25,1,28,4,29,7,25,10,15,9,15,10,9,6,8,9,6,8,1,12,5,9,9,17,7,13,5,12,4,12,2,15,3,11,4,15,2,12,1,8,2,8,0,7,2,6,1,6,2,5,0,7,0,4,2,4,2,2,2,2,1,2,0,1,1,1,2,2,half-circle
0,0,1,2,0,1,3,5,2,9,0,10,1,12,3,15,3,12,6,14,13,12,24,14,36,11,60,8,28,4,21,4,16,5,19,5,21,5,14,0,14,2,23,1,13,1,13,2,11,4,12,1,11,3,11,3,5,4,12,8,6,10,8,14,5,13,6,12,5,10,6,10,6,11,3,17,4,10,5,12,1,12,0,11,1,12,2,8,1,8,1,6,0,12,1,6,0,6,1,6,1,5,2,3,2,5,1,1,1,1,1,0,0,0,0,0,0,1,1,2,half-circle
0,0,1,1,2,4,5,8,7,11,13,9,18,6,24,16,17,12,13,12,15,10,22,16,20,12,19,14,19,12,30,17,14,10,18,1,21,4,27,4,14,2,9,4,9,9,13,6,16,3,21,12,18,11,15,8,18,14,9,13,9,11,4,10,5,17,3,8,6,8,6,10,4,12,3,9,3,10,1,11,1,5,4,11,2,11,4,15,2,13,0,11,1,7,0,11,0,5,0,3,1,4,0,4,1,5,1,1,1,0,1,2,2,0,2,1,2,0,3,2,half-circle
0,0,1,0,1,1,1,1,1,1,3,6,0,14,2,14,11,19,23,14,36,16,36,19,48,27,24,14,24,13,38,14,24,6,21,1,26,1,12,2,12,2,12,0,14,4,15,4,17,7,12,7,14,7,24,19,15,16,10,17,7,16,4,20,1,16,1,14,0,13,2,4,3,5,2,3,2,4,1,3,1,2,1,3,1,4,2,13,3,13,1,15,1,10,1,7,1,8,0,11,3,4,0,3,0,3,0,1,1,2,2,1,2,0,1,0,1,0,1,3,half-circle
